idx,date,precipitation,temp_max,temp_min,wind,weather
0,12/23/2015,6.1,5,2.8,7.6,0
1,2/1/2014,2,7.8,2.8,0.8,0
2,7/21/2014,0,23.9,13.3,2.2,1
3,3/11/2013,1.3,10.6,6.1,1.1,0
4,9/21/2013,0,21.1,13.3,2.5,1
5,4/25/2015,1.3,13.3,5.6,3,0
6,1/23/2015,5.8,12.2,8.3,2.6,0
7,12/20/2014,19.6,12.8,6.7,5.5,0
8,6/7/2012,16.5,16.1,8.9,3.5,0
9,8/25/2014,0,28.9,14.4,2,1
10,6/13/2015,0,23.9,9.4,2.6,1
11,7/5/2013,0,23.3,13.9,2.6,1
12,5/12/2013,6.6,21.7,13.9,3.9,0
13,10/28/2014,12.7,15,9.4,3.9,0
14,6/16/2015,0,22.8,11.1,3,1
15,10/10/2014,0.3,18.3,10,3.8,0
16,8/4/2015,0,26.1,14.4,2.6,2
17,7/20/2013,0,25,13.3,2,1
18,9/2/2013,0,27.8,17.2,2.1,1
19,7/2/2015,0,33.9,17.8,3.4,1
20,6/17/2015,0,25,11.1,3.1,1
21,3/27/2014,0.3,12.2,6.7,2.8,0
22,3/14/2013,2.8,11.7,9.4,3,0
23,7/29/2014,0,30,15.6,2.8,1
24,4/6/2012,0.3,11.1,3.3,2.6,0
25,7/14/2013,0,27.8,12.8,3,1
26,3/28/2015,0,15.6,9.4,5.7,1
27,4/16/2013,0.3,13.9,3.3,2.6,0
28,10/1/2014,0,18.3,11.1,2.1,1
29,2/14/2013,1,9.4,5.6,2.2,0
30,8/21/2014,0,21.1,11.1,1.7,1
31,8/5/2013,0,30,15,2.1,1
32,6/5/2012,16,13.3,8.3,3.3,0
33,8/17/2013,0,25.6,17.2,3,1
34,9/9/2013,0,26.1,13.9,2.1,1
35,3/23/2013,0,10,1.1,2.6,1
36,4/20/2015,0,22.8,7.8,2.6,1
37,5/11/2014,0,18.9,8.3,1.7,1
38,10/7/2014,0,18.9,13.9,1,2
39,1/25/2013,3,10.6,2.8,2.1,0
40,11/10/2015,1.3,11.1,3.9,3.9,0
41,4/27/2014,6.9,11.1,6.1,5.8,0
42,7/8/2015,0,30,14.4,1.9,3
43,9/7/2013,0,23.3,17.2,2,1
44,9/5/2013,27.7,20,15.6,2.5,0
45,7/27/2015,0,23.3,12.2,1.9,2
46,5/1/2013,0,18.3,3.3,3.1,1
47,7/15/2013,0,27.8,14.4,4.6,1
48,11/4/2012,8.1,17.8,12.8,3.8,0
49,4/6/2013,12.7,12.2,7.2,5,0
50,2/16/2015,0,15,5.6,6.6,2
51,12/31/2013,0.5,8.3,5,1.7,0
52,3/1/2015,0,11.1,1.1,2.2,1
53,4/18/2015,0,18.9,8.3,3.9,1
54,12/1/2013,3,13.3,7.8,8.8,0
55,4/29/2014,0,25,9.4,2.3,1
56,6/14/2015,0,27.8,11.7,3.7,1
57,2/26/2014,0,13.9,5.6,2.5,1
58,12/18/2012,3.3,3.9,0.6,5.3,4
59,12/11/2013,0,5,-1.6,0.8,1
60,5/4/2012,1.8,12.2,6.1,4.6,0
61,6/27/2012,0,22.8,8.9,1.8,1
62,10/14/2012,16.5,17.8,13.3,3.4,0
63,11/8/2015,6.6,11.1,7.8,1.8,0
64,4/23/2015,3,12.2,6.7,4.1,0
65,10/21/2012,6.4,11.7,4.4,2.7,0
66,11/23/2012,32,9.4,6.1,2.4,0
67,12/27/2015,8.6,4.4,1.7,2.9,0
68,4/21/2014,5.1,17.2,7.8,2.5,0
69,1/26/2015,0,16.1,6.1,2.2,2
70,7/20/2014,0,19.4,14.4,2.8,1
71,8/24/2012,0,22.2,10,3.3,1
72,3/29/2012,27.4,10,6.1,4.4,0
73,6/5/2014,0,22.2,10,2.4,1
74,7/6/2013,0,26.1,13.3,2.2,1
75,9/22/2013,13.5,17.2,13.3,5.5,0
76,9/14/2015,0,16.7,10.6,3.4,1
77,10/27/2013,1.8,13.9,8.3,4.4,0
78,6/19/2014,0.8,25.6,11.7,3.7,0
79,10/17/2012,0,14.4,6.1,1.6,1
80,10/14/2015,0,15,10,5,2
81,7/24/2013,0,31.1,14.4,2.5,1
82,12/14/2012,7.9,6.1,1.1,1.7,0
83,6/28/2013,0,30.6,16.1,2.2,1
84,10/8/2015,0,18.9,13.3,1.1,2
85,10/22/2013,0,14.4,7.2,1.9,1
86,1/16/2015,0,11.7,5.6,4.5,2
87,4/3/2013,0,16.7,7.8,1.6,1
88,10/2/2014,0,19.4,10,2,1
89,11/29/2012,1.5,12.8,7.8,4.2,0
90,12/22/2013,10.7,10.6,8.3,4,0
91,7/13/2015,0,25.6,16.1,3.1,1
92,11/9/2013,1.8,11.1,5,1.4,0
93,9/16/2015,1,20,10,1.9,0
94,11/24/2012,0,8.9,3.9,1.2,0
95,11/14/2012,0.8,11.1,5,2.6,0
96,12/9/2015,13.5,12.2,7.8,6.3,0
97,6/27/2014,1.8,21.1,13.9,4.5,0
98,1/13/2012,0,5,-2.8,1.3,1
99,6/20/2012,0,24.4,10,3,1
100,9/17/2012,0,27.8,11.7,2.2,2
101,2/17/2014,14.5,8.3,4.4,5.5,0
102,3/29/2014,14,11.7,7.2,5.1,0
103,1/29/2014,21.6,11.1,7.2,3.4,0
104,5/18/2012,0,15.6,7.8,3.1,0
105,4/24/2015,3.3,12.2,6.1,5,0
106,6/4/2014,0,19.4,10,2.6,1
107,1/11/2014,21.3,14.4,7.2,8.8,0
108,5/19/2012,0,19.4,7.2,1.5,1
109,6/30/2015,0,30.6,15,3.4,2
110,12/17/2014,2.8,8.9,6.1,1.6,0
111,8/12/2012,0,30.6,15,3,1
112,11/29/2014,3.6,4.4,-4.3,5.3,4
113,2/13/2013,2.3,9.4,7.2,4.1,0
114,11/21/2012,11.2,8.3,3.9,5.5,0
115,10/26/2012,1.5,11.1,7.2,2.5,0
116,5/27/2015,0,24.4,11.7,1.8,1
117,12/6/2013,0,1.1,-4.3,4.7,1
118,5/20/2015,0,23.3,10.6,1.8,2
119,9/17/2015,1.8,18.3,12.8,3.8,0
120,6/22/2014,0,25,11.1,2.7,1
121,4/9/2014,0,14.4,6.7,2.9,1
122,5/18/2013,0,16.7,11.1,2.9,1
123,8/29/2015,32.5,22.2,13.3,5.8,0
124,1/4/2012,20.3,12.2,5.6,4.7,0
125,8/6/2015,0,25,15,2.9,1
126,4/12/2013,9.7,7.8,4.4,4.6,0
127,11/17/2012,6.1,12.2,6.1,5.3,0
128,1/6/2012,2.5,4.4,2.2,2.2,0
129,5/24/2015,0,17.8,11.1,2.7,1
130,12/29/2014,0,6.1,0.6,4.3,2
131,12/16/2013,0.3,10,4.4,1,0
132,2/9/2012,2.5,11.1,7.8,2.4,0
133,6/26/2013,2,22.2,15,2.3,0
134,8/30/2012,0,22.8,12.8,1.9,1
135,5/16/2012,0,19.4,9.4,3.5,1
136,12/15/2013,1.3,11.7,8.3,3.9,0
137,1/7/2014,12.2,8.3,5,1.6,0
138,7/25/2015,0,21.1,14.4,2.4,2
139,11/9/2014,5.1,13.3,7.8,3,0
140,8/23/2015,0,27.8,13.9,1.8,3
141,1/8/2015,0,7.8,1.7,2.6,2
142,1/22/2014,0.5,9.4,5.6,2.6,0
143,9/15/2015,0,17.8,10,2.8,1
144,1/11/2013,0,2.8,-2.8,1.9,3
145,11/10/2012,0,7.8,-0.6,2.2,1
146,3/18/2013,0,11.7,3.9,5.9,0
147,11/15/2012,0,9.4,2.8,2.4,3
148,2/6/2014,0,-1.6,-6,4.5,1
149,1/26/2014,0,8.3,0.6,1.3,1
150,2/28/2013,8.1,11.7,6.7,3.8,0
151,7/7/2013,0,23.9,13.9,2.9,1
152,11/1/2014,0,11.1,7.2,1.2,2
153,8/11/2014,0.5,35.6,17.8,2.6,0
154,3/31/2015,1,12.8,6.1,4.2,0
155,8/19/2013,0,26.7,15.6,3,1
156,8/15/2012,0,31.1,16.7,4.7,1
157,1/11/2015,1.5,9.4,7.2,1.1,0
158,2/10/2014,18.3,10,2.2,4.7,0
159,7/22/2014,0.3,21.1,13.3,1.1,0
160,11/18/2015,1.5,8.9,3.3,3.8,0
161,3/7/2012,0,8.9,-1.7,2.7,1
162,9/26/2014,8.9,20,13.9,3.3,0
163,8/2/2013,2,17.2,15,2,0
164,7/31/2014,0,30.6,17.8,4.1,1
165,7/30/2012,0,19.4,13.3,3,1
166,2/22/2015,0,11.7,3.3,4.2,1
167,1/15/2014,0,11.1,5.6,2.5,1
168,6/20/2013,3,17.2,12.8,5,0
169,7/10/2015,0,21.1,16.7,3.7,1
170,7/19/2015,0,35,17.2,3.3,1
171,3/26/2012,0,12.8,6.1,4.3,3
172,8/7/2015,0,28.3,15.6,3.7,1
173,9/1/2014,0,23.3,12.8,2.5,1
174,9/3/2014,0,20.6,12.8,2.7,1
175,9/23/2013,2.8,16.1,11.1,4.5,0
176,8/8/2015,0,25,15.6,3.6,2
177,10/15/2015,0,21.1,9.4,3.4,2
178,11/2/2015,0.3,11.1,7.2,2.8,0
179,8/7/2014,0,25.6,13.3,2.4,2
180,9/30/2012,0,21.1,7.8,3.1,1
181,10/31/2014,17,12.8,8.3,2,0
182,12/28/2012,0,8.3,3.9,1.7,0
183,9/14/2013,0,21.7,15.6,1.4,2
184,1/3/2012,0.8,11.7,7.2,2.3,0
185,1/7/2012,0,7.2,2.8,2.3,0
186,11/7/2012,0,12.2,3.9,3.4,0
187,10/30/2013,0.5,15,5.6,3.9,0
188,11/3/2014,10.9,13.9,11.1,4.8,0
189,12/10/2015,9.4,11.7,6.1,7.5,0
190,8/3/2012,0,27.2,12.8,3.9,1
191,1/24/2015,0.5,14.4,11.1,3.3,0
192,1/28/2012,0,6.7,0.6,2.2,0
193,11/21/2014,15.2,11.1,8.3,4.7,0
194,4/4/2014,0,12.8,6.1,4.7,1
195,11/16/2015,2,8.9,1.7,4,0
196,4/13/2015,14,11.7,3.9,3.6,0
197,7/4/2015,0,33.3,15,2.9,1
198,9/16/2013,0.3,21.7,15,4.3,0
199,3/18/2014,0,10,3.3,1.6,1
200,9/13/2012,0,27.8,11.7,3.6,1
201,1/26/2012,4.8,8.9,1.1,4.8,0
202,12/2/2012,19.6,8.3,7.2,6.2,0
203,7/26/2013,0,31.1,14.4,2.9,1
204,2/17/2012,17.3,10,4.4,3.4,0
205,4/16/2012,8.1,13.3,6.7,5.8,0
206,12/15/2012,5.3,4.4,0.6,5.1,4
207,2/25/2012,0,7.2,2.8,6.4,0
208,12/14/2015,0,7.8,1.7,1.7,1
209,8/1/2012,0,23.9,13.3,2.2,3
210,4/30/2012,4.3,12.8,7.2,8,0
211,4/21/2015,5.6,17.2,6.7,3.4,0
212,10/20/2015,0,17.8,10.6,1.8,2
213,3/13/2012,9.4,5.6,0.6,5.3,4
214,1/13/2014,0,10.6,10,7.1,1
215,4/3/2015,1.5,11.1,5,3.6,0
216,2/15/2012,0,7.2,0.6,1.8,3
217,5/15/2015,0,20,9.4,2.8,2
218,6/7/2013,0,21.7,13.3,3.2,1
219,4/6/2014,0,13.9,8.3,2.6,1
220,5/17/2014,0,20,11.7,3.2,1
221,4/14/2015,3.3,11.7,2.8,3.3,0
222,1/27/2014,0,9.4,1.7,1.3,1
223,6/17/2013,0,25.6,13.9,3,1
224,8/26/2013,1,24.4,16.1,1.9,0
225,4/10/2013,9.4,15,8.9,6.4,0
226,10/23/2015,0,12.8,7.2,2.6,2
227,5/29/2015,0,26.1,12.8,2.5,1
228,12/16/2014,0,10,8.3,4,1
229,6/23/2014,0,25,13.3,2.5,1
230,3/1/2012,0,6.1,1.1,3.1,1
231,4/2/2012,0,16.7,4.4,3.1,1
232,10/28/2013,0,14.4,7.2,5.1,1
233,12/28/2013,0,9.4,3.3,1.3,1
234,7/13/2012,0.5,23.3,13.9,2.2,0
235,10/7/2012,0,23.9,7.8,1.3,1
236,12/25/2012,13.5,5.6,2.8,4.2,4
237,6/3/2013,0,22.2,11.1,2.9,1
238,12/26/2015,0,4.4,0,2.5,1
239,7/12/2014,0,32.2,16.7,2.2,1
240,7/1/2012,0,20,12.2,2.3,0
241,9/14/2014,0,30,11.7,1.8,1
242,4/20/2012,6.6,13.3,6.7,2.7,0
243,2/12/2012,1,8.3,5,1.3,0
244,5/21/2015,0,25.6,11.7,2.1,1
245,7/23/2012,0,18.9,11.1,3.3,0
246,9/10/2014,0,22.2,12.2,3.9,1
247,2/22/2012,8.6,10,2.8,5.9,0
248,6/29/2013,0,30,18.3,1.7,1
249,8/3/2014,0,31.7,14.4,2.6,1
250,5/2/2014,0,18.3,10.6,4.7,1
251,11/14/2015,47.2,9.4,6.1,4.5,0
252,10/7/2015,9.9,16.1,13.9,2.2,0
253,7/2/2012,2,18.9,11.7,2.1,0
254,5/17/2012,0,17.8,6.7,2.9,0
255,7/15/2014,0,31.1,13.9,2.3,1
256,3/21/2012,1.3,8.9,1.1,2.5,0
257,9/26/2015,0,18.3,10,2.7,1
258,4/15/2012,0,16.1,7.2,2.9,0
259,6/25/2013,9.9,23.3,14.4,2.8,0
260,12/7/2013,0,0,-7.1,3.1,1
261,4/25/2013,0,21.7,6.7,1.1,1
262,6/14/2012,0,17.2,10,2.7,1
263,9/5/2012,0,26.1,11.7,2.6,1
264,11/3/2012,0.5,15.6,11.1,3.6,0
265,3/22/2013,0,9.4,0.6,2.2,1
266,12/13/2013,0.5,9.4,5.6,2.9,0
267,11/30/2012,35.6,15,7.8,4.6,0
268,4/7/2012,0,16.1,1.7,4.3,1
269,12/25/2013,0,6.7,1.7,0.8,1
270,6/24/2014,0,24.4,14.4,2.5,1
271,6/18/2014,0,18.9,11.1,2.7,1
272,4/12/2012,0.5,13.9,5.6,2.6,0
273,3/10/2013,0.8,7.8,3.9,1.6,0
274,10/4/2014,0,21.7,12.2,1.2,1
275,7/29/2015,0,32.2,14.4,3.8,1
276,4/14/2014,0,20,5.6,2.6,1
277,8/17/2015,0,27.2,13.9,3,1
278,10/29/2012,10.9,15.6,10,4.9,0
279,5/14/2015,0.3,17.8,9.4,2,0
280,4/6/2015,1,13.9,6.7,3.5,0
281,1/23/2013,5.1,7.2,2.2,3.1,0
282,8/23/2012,0,21.1,13.9,3.8,1
283,4/27/2015,0.3,25,10.6,2.3,0
284,9/24/2012,0,21.1,10,1.8,2
285,11/1/2012,9.7,15,10.6,3,0
286,4/27/2012,0.8,13.3,6.1,4.8,0
287,3/25/2015,5.1,14.4,7.2,4.4,0
288,11/4/2013,0,10.6,3.9,1.6,3
289,9/6/2012,0,28.3,14.4,4.2,1
290,12/1/2014,0,4.4,-3.2,2.2,1
291,11/18/2014,0,7.2,-0.5,0.9,1
292,3/12/2012,19.3,8.3,0.6,6.2,4
293,4/4/2012,0,10.6,2.8,2.1,1
294,12/11/2015,0.3,9.4,4.4,2.8,0
295,2/3/2012,0,14.4,2.2,5.3,1
296,3/13/2015,2,17.2,7.8,2.2,0
297,3/24/2013,0,12.2,0.6,2.1,1
298,3/21/2013,8.1,10,2.2,4.9,4
299,12/17/2013,0,8.3,4.4,2.7,1
300,4/24/2014,12.4,13.9,6.1,5.3,0
301,1/17/2015,26.2,13.3,3.3,2.8,0
302,5/8/2014,13.7,13.9,9.4,3.4,0
303,9/24/2014,20.3,18.9,14.4,2.7,0
304,3/18/2012,3.6,5,-0.6,2.7,0
305,3/25/2012,0,13.3,2.2,2.7,0
306,3/3/2014,10.7,14.4,8.9,5.1,0
307,3/23/2012,0,12.2,0.6,2.8,1
308,4/2/2013,0,13.9,8.9,2.2,1
309,8/28/2014,0,23.3,14.4,2.3,1
310,11/7/2013,30,11.1,10,7.2,0
311,7/27/2014,0,28.3,15,4.1,1
312,11/16/2014,0,9.4,-2.1,4.2,1
313,3/12/2013,2,12.8,10,5.7,0
314,10/6/2013,4.1,22.8,7.8,2.6,0
315,2/19/2014,1,8.3,3.9,6,0
316,5/12/2014,0,24.4,9.4,2.7,1
317,9/19/2015,0,21.1,14.4,4.3,1
318,2/8/2013,0,7.8,2.2,1.3,1
319,6/24/2015,0,25.6,16.1,2.6,1
320,7/30/2014,0,29.4,14.4,3.4,1
321,8/2/2014,0.5,29.4,15.6,1.7,0
322,4/14/2012,0,15.6,3.3,3,1
323,9/1/2013,0,27.8,15.6,2.5,1
324,12/4/2014,0.8,8.3,3.9,1.1,0
325,9/20/2014,0,24.4,14.4,4.4,2
326,6/7/2014,0,24.4,13.3,3.1,1
327,3/3/2012,0,12.2,6.7,7,1
328,10/8/2012,0,21.1,7.8,1.9,1
329,8/22/2014,0,23.9,13.3,2.9,1
330,8/26/2012,0,21.1,12.2,3.4,1
331,8/11/2012,0,28.3,13.3,2.5,1
332,5/25/2012,0,22.2,8.9,3.1,0
333,9/24/2015,0,22.2,11.1,2.5,2
334,1/8/2013,16.3,11.7,5.6,6.3,0
335,4/28/2012,0,16.1,8.3,2.5,3
336,1/1/2015,0,5.6,-3.2,1.2,1
337,9/7/2012,0,32.2,13.3,3.1,1
338,11/7/2015,12.7,12.2,9.4,3,0
339,1/10/2012,1,6.1,0.6,3.4,0
340,3/25/2013,0,16.7,4.4,2.8,1
341,12/9/2013,0,1.1,-4.9,1.3,1
342,9/12/2012,0,22.2,10,5.6,1
343,8/16/2013,0,28.9,16.1,2.2,2
344,1/24/2013,5.8,7.2,1.1,2.6,0
345,4/17/2015,0,18.9,6.1,3.6,1
346,3/14/2015,17,13.9,9.4,3.8,0
347,7/11/2013,0,22.8,12.2,3,1
348,7/22/2015,0,23.9,13.9,2.8,1
349,11/25/2015,0,7.2,0,5.7,1
350,4/5/2013,18.5,13.9,10,5.6,0
351,12/24/2013,0,8.3,2.8,1.7,1
352,9/8/2015,0,22.8,13.3,2.4,1
353,5/24/2012,0,17.2,8.9,3.3,0
354,5/16/2013,0,21.7,12.2,2.7,2
355,12/6/2014,7.4,11.7,7.8,3.6,0
356,1/9/2014,5.8,9.4,5.6,6.3,0
357,9/11/2015,0,27.2,15,3.1,1
358,1/1/2014,0,7.2,3.3,1.2,1
359,6/23/2013,7.9,22.2,15,2.1,0
360,6/26/2012,0,18.3,10.6,3.4,0
361,11/9/2015,3.3,10,5,1.3,0
362,11/28/2013,0,11.7,3.3,0.7,1
363,11/3/2015,0.8,10.6,5,1.4,0
364,10/19/2014,0,22.2,12.8,3.2,1
365,1/21/2015,0,7.2,-0.5,1.3,2
366,11/30/2015,0.5,5.6,-3.8,1.7,0
367,12/24/2015,2.5,5.6,2.2,4.3,0
368,1/8/2012,0,10,2.8,2,1
369,3/31/2014,0,15.6,2.2,3.8,1
370,10/29/2013,0,13.3,3.3,2.2,1
371,10/21/2015,0,16.1,8.3,1.3,2
372,12/23/2012,6.6,7.2,3.3,2.5,0
373,2/22/2014,2.5,5.6,2.8,3.1,0
374,9/12/2014,0,24.4,12.8,5.9,1
375,11/25/2012,0,8.3,1.1,3.6,3
376,12/15/2015,1.5,6.7,1.1,2.9,0
377,1/22/2015,0.8,9.4,6.1,1.3,0
378,12/23/2014,20.6,12.2,5,3.8,0
379,9/15/2012,0,22.2,11.1,1.9,1
380,2/18/2015,0,12.2,4.4,2.6,1
381,1/7/2013,2.3,10,4.4,7.3,0
382,12/11/2014,6.9,14.4,8.3,6.4,0
383,6/1/2014,0,22.2,10.6,2.3,1
384,5/22/2012,6.1,12.8,8.9,4.8,0
385,6/9/2013,0,20.6,11.1,3.7,1
386,1/12/2015,0,11.1,4.4,1.6,2
387,8/28/2015,0.5,23.3,15.6,2.6,0
388,12/27/2014,3.3,9.4,4.4,4.9,0
389,10/19/2015,0.3,17.2,12.2,2.6,0
390,3/16/2013,4.3,10.6,4.4,6.4,0
391,6/15/2013,0,25.6,10,2.9,1
392,3/15/2015,55.9,10.6,6.1,4.2,0
393,8/14/2012,0,28.9,13.9,2.8,1
394,9/27/2014,0,20.6,11.7,3.2,2
395,8/16/2012,0,34.4,18.3,2.8,1
396,5/31/2015,0,25,11.7,2.2,1
397,8/12/2015,7.6,28.3,16.7,2.7,0
398,7/31/2012,0,22.8,13.9,2.8,1
399,3/20/2012,3.6,7.8,2.2,6.4,0
400,5/28/2012,0,16.7,10,3.4,0
401,3/25/2014,4.1,13.9,6.7,4.4,0
402,12/3/2014,0,10,0,3.6,1
403,5/19/2014,0,21.1,10,2.2,1
404,11/2/2013,12.7,14.4,8.3,7.9,0
405,1/29/2015,0,12.2,3.3,2.9,1
406,7/9/2013,0,30,15,2.5,1
407,5/14/2014,0,27.8,13.3,3.3,1
408,5/13/2012,0,25.6,9.4,4.2,1
409,12/15/2014,0,12.2,6.7,5.9,1
410,4/3/2014,2.5,13.3,6.1,3.9,0
411,2/12/2013,1,11.1,7.2,5.6,0
412,9/9/2014,0,21.7,13.3,2.3,1
413,5/22/2013,13.7,11.1,7.2,3,0
414,2/24/2015,0,11.1,2.2,1.5,1
415,5/19/2013,0,18.3,10.6,2.3,1
416,9/13/2014,0,28.3,10,4.2,1
417,12/13/2012,2.3,7.2,3.3,2.8,0
418,1/21/2013,0,2.2,-1.7,1.1,3
419,1/1/2012,0,12.8,5,4.7,3
420,12/26/2012,4.6,6.7,3.3,4.9,0
421,4/8/2014,4.6,15.6,8.3,4.2,0
422,10/11/2015,0,17.8,10.6,2.6,1
423,4/20/2013,0,13.9,8.3,5.8,1
424,6/1/2015,4.6,16.1,11.7,3.4,0
425,2/27/2012,0,6.7,-2.2,3,1
426,9/29/2013,16.8,14.4,11.1,7.1,0
427,6/27/2015,0,33.3,17.2,3.9,1
428,10/23/2014,9.4,14.4,8.3,4.6,0
429,6/28/2014,2.3,20,13.3,4.3,0
430,6/21/2012,0,23.9,11.7,2.1,1
431,3/26/2013,0,16.7,6.1,1.7,1
432,5/5/2012,0,13.3,5,2.3,1
433,7/23/2014,19.3,18.9,13.3,3.3,0
434,6/14/2013,0,20,12.2,3.7,1
435,5/7/2014,0,18.3,7.2,1.7,1
436,12/14/2013,0,9.4,6.1,3.7,1
437,3/31/2012,13.2,10,2.8,3.4,0
438,11/13/2015,33.5,13.3,9.4,6.5,0
439,6/30/2012,3,20,13.3,2.4,0
440,5/25/2014,5.6,15,10.6,1.4,0
441,2/25/2015,4.1,10,6.7,1,0
442,2/25/2014,0.3,12.2,3.9,4.5,0
443,2/18/2013,0,7.8,3.9,1.9,0
444,9/8/2012,0,25,13.3,3,1
445,3/10/2012,10.4,7.2,6.1,3.4,0
446,3/14/2014,6.9,14.4,8.3,6.1,0
447,5/11/2012,0,18.3,4.4,4.3,1
448,10/27/2012,23.1,14.4,9.4,5.1,0
449,9/5/2014,0,27.8,13.9,6.5,2
450,11/22/2012,0,8.9,2.8,1.5,0
451,11/27/2015,0,9.4,-1.6,3,1
452,12/19/2014,3,11.1,7.2,4.3,0
453,5/14/2013,0,18.3,7.8,2.4,1
454,8/26/2014,0,31.1,15.6,1.8,1
455,4/12/2014,0,16.1,7.8,4.4,1
456,12/30/2012,0,4.4,0,1.8,3
457,5/10/2013,0,26.1,9.4,1,1
458,9/21/2015,0,18.3,9.4,2.7,2
459,12/4/2012,14.2,11.7,7.2,6.2,0
460,2/25/2013,2.3,10.6,3.3,7.1,0
461,6/13/2012,0,16.1,11.1,4.3,1
462,1/29/2012,27.7,9.4,3.9,4.5,0
463,5/31/2013,0,19.4,11.1,2.5,1
464,7/12/2012,0,25.6,13.3,2.7,3
465,6/4/2015,0,22.8,11.7,3.9,1
466,8/19/2015,0,31.7,16.1,2.1,3
467,8/18/2015,0,30,15,3,1
468,6/18/2012,3,17.2,10,3.8,0
469,6/16/2012,0,21.1,15,4.1,0
470,10/14/2013,0,15.6,3.9,1.6,1
471,6/22/2012,15.7,13.9,11.7,1.9,0
472,6/2/2013,1,20.6,12.2,3.1,0
473,3/27/2015,1,18.3,8.9,4,0
474,2/23/2015,0,12.8,0.6,1.4,1
475,7/1/2014,0,34.4,15.6,3.5,1
476,5/6/2013,0,30.6,12.2,2,1
477,3/14/2012,8.6,7.8,1.1,4.7,0
478,5/4/2015,0,17.2,7.2,5.2,1
479,8/10/2013,2.3,25.6,15,2.9,0
480,1/20/2014,0,10,2.8,2.2,1
481,10/19/2013,0,10.6,7.8,1.4,1
482,4/22/2014,14.2,12.2,5,4.2,0
483,8/22/2012,0,22.2,13.3,2.3,1
484,1/2/2014,4.1,10.6,6.1,3.2,0
485,8/2/2012,0,23.3,12.2,2.5,1
486,6/11/2012,0,23.3,10,1.8,0
487,5/12/2012,0,24.4,6.7,3.4,1
488,1/3/2015,0,5,1.7,1.7,2
489,8/10/2012,0,25.6,12.2,2.3,1
490,8/5/2015,0,23.3,12.2,3.5,1
491,7/4/2012,0,20.6,9.4,3.8,1
492,2/11/2012,0.8,8.9,5.6,3.4,0
493,11/23/2013,0,11.1,1.1,2.6,1
494,4/18/2012,1.8,13.3,7.2,3.9,0
495,2/8/2012,2.8,10,5,2.7,0
496,7/22/2013,0,26.1,13.3,2.4,2
497,8/5/2014,0,25,13.9,2.7,1
498,5/18/2015,0,25.6,12.2,3,1
499,11/4/2015,0,10,3.3,2.2,1
500,4/28/2013,1,15,9.4,5.2,0
501,4/13/2013,9.4,10.6,3.3,5.7,0
502,6/9/2014,0,21.1,13.3,3.6,1
503,1/25/2012,8.1,8.9,4.4,5.4,0
504,8/20/2014,0,21.7,13.9,3.6,1
505,1/5/2015,8.1,12.2,9.4,6.4,0
506,3/9/2012,3.6,9.4,5,2.8,0
507,6/3/2014,0,18.3,11.1,3.2,1
508,5/16/2015,0,15.6,11.1,3,1
509,1/1/2013,0,5,-2.8,2.7,1
510,5/20/2013,0,19.4,9.4,1.8,1
511,4/30/2014,0,27.8,9.4,3.9,1
